"long","lat","seal","date","local","lq"
144.1466667,-65.995,"b290","3-Mar-99","17:52:34","B"
144.6866667,-65.895,"b290","3-Mar-99","8:43:48","A"
144.5666667,-66.00333333,"b290","4-Mar-99","17:41:07","A"
144.615,-66.035,"b290","4-Mar-99","19:56:47","A"
144.4066667,-65.96333333,"b290","4-Mar-99","4:22:49","B"
144.9433333,-66.02166667,"b290","4-Mar-99","5:59:19","B"
144.9,-66.09333333,"b290","5-Mar-99","17:56:45","A"
144.5466667,-66.01333333,"b290","5-Mar-99","19:36:09","A"
144.9266667,-66.015,"b290","5-Mar-99","21:13:17","A"
144.2283333,-66.25166667,"b290","5-Mar-99","7:31:11","B"
144.865,-66.32166667,"b290","6-Mar-99","7:16:18","B"
144.7316667,-66.18333333,"b290","6-Mar-99","9:17:22","B"
144.7966667,-66.35333333,"b290","7-Mar-99","8:49:18","A"
144.7416667,-66.08666667,"b290","8-Mar-99","16:58:26","0"
135.9916667,-66.94833333,"b290","8-Mar-99","6:54:23","B"
144.23,-66.51333333,"b290","8-Mar-99","8:38:54","B"
145.2166667,-66.36333333,"b290","9-Mar-99","16:30:29","B"
147.8766667,-67.23166667,"b290","9-Mar-99","19:49:12","B"
144.1933333,-65.96,"b290","10-Mar-99","17:45:58","0"
144.0283333,-65.90833333,"b290","10-Mar-99","19:23:24","B"
143.3733333,-65.775,"b290","10-Mar-99","21:06:19","0"
143.9366667,-66.205,"b290","10-Mar-99","4:52:45","B"
144.0183333,-66.085,"b290","10-Mar-99","9:28:20","0"
143.4166667,-65.82166667,"b290","11-Mar-99","18:04:26","B"
143.5116667,-65.82,"b290","11-Mar-99","19:01:51","B"
142.5883333,-65.70666667,"b290","12-Mar-99","17:51:16","A"
141.9916667,-65.905,"b290","13-Mar-99","7:42:19","A"
141.805,-66.15333333,"b290","14-Mar-99","15:51:19","B"
140.3416667,-65.77166667,"b290","14-Mar-99","17:32:01","B"
140.4366667,-65.61833333,"b290","15-Mar-99","15:37:07","A"
140.015,-65.64166667,"b290","15-Mar-99","19:10:27","B"
140.1666667,-65.79833333,"b290","16-Mar-99","17:11:27","B"
139.385,-65.68333333,"b290","16-Mar-99","8:51:42","A"
139.9233333,-65.71333333,"b290","17-Mar-99","6:54:15","B"
138.955,-65.635,"b290","17-Mar-99","8:37:15","A"
138.3166667,-65.82166667,"b290","18-Mar-99","6:50:45","B"
139.1016667,-65.905,"b290","19-Mar-99","16:09:40","B"
138.5933333,-65.70166667,"b290","19-Mar-99","6:30:49","B"
138.9,-65.72333333,"b290","19-Mar-99","8:14:43","A"
139.6016667,-65.76333333,"b290","20-Mar-99","16:21:16","B"
139.5416667,-65.765,"b290","20-Mar-99","18:03:40","B"
140.1216667,-65.63833333,"b290","21-Mar-99","16:11:27","A"
139.67,-65.96166667,"b290","22-Mar-99","18:24:16","B"
139.87,-65.60333333,"b290","23-Mar-99","15:47:06","A"
140.0866667,-65.77166667,"b290","23-Mar-99","18:00:50","B"
139.73,-65.66833333,"b290","23-Mar-99","9:08:26","B"
139.5166667,-65.69833333,"b290","24-Mar-99","5:35:54","B"
139.7333333,-65.68666667,"b290","24-Mar-99","9:20:25","0"
140.1533333,-65.58166667,"b290","25-Mar-99","3:42:33","B"
139.8116667,-65.59666667,"b290","25-Mar-99","5:27:07","2"
140.0883333,-65.52166667,"b290","26-Mar-99","5:13:52","B"
137.9816667,-65.41166667,"b290","27-Mar-99","21:28:47","A"
138.5083333,-65.39666667,"b290","27-Mar-99","5:02:08","B"
136.8216667,-65.355,"b290","28-Mar-99","18:15:15","B"
137.3616667,-65.34333333,"b290","28-Mar-99","8:14:26","A"
135.5016667,-65.41166667,"b290","29-Mar-99","18:05:14","A"
134.4433333,-64.70333333,"b290","30-Mar-99","18:43:25","B"
132.4816667,-64.97,"b290","1-Apr-99","19:09:39","B"
132.975,-65.26333333,"b290","1-Apr-99","9:12:28","A"
133.8283333,-65.105,"b290","2-Apr-99","15:35:55","B"
132.6933333,-65.10333333,"b290","2-Apr-99","7:20:52","B"
133.4866667,-64.93833333,"b290","2-Apr-99","8:58:16","A"
133.4716667,-64.99166667,"b290","3-Apr-99","18:47:37","B"
133.7066667,-65.01666667,"b290","3-Apr-99","8:50:12","B"
133.9216667,-64.84666667,"b290","4-Apr-99","20:13:32","B"
133.8983333,-64.91333333,"b290","4-Apr-99","6:54:46","B"
133.5866667,-64.71333333,"b290","5-Apr-99","18:22:39","B"
133.7683333,-64.81666667,"b290","5-Apr-99","19:51:20","A"
133.0733333,-64.80333333,"b290","6-Apr-99","9:30:31","A"
133.4166667,-65.16,"b290","7-Apr-99","15:49:32","B"
132.3916667,-65.03166667,"b290","8-Apr-99","6:09:43","A"
134.5433333,-64.815,"b290","9-Apr-99","19:58:59","B"
133.7366667,-65.08666667,"b290","10-Apr-99","9:08:58","B"
134.3966667,-64.98166667,"b290","11-Apr-99","19:19:37","B"
135.0166667,-64.48333333,"b290","12-Apr-99","5:25:46","A"
134.1316667,-65.01666667,"b290","13-Apr-99","18:37:36","A"
133.9633333,-64.84666667,"b290","13-Apr-99","8:37:08","B"
133.7,-64.82833333,"b290","14-Apr-99","18:25:23","B"
133.78,-64.78833333,"b290","16-Apr-99","18:02:50","0"
134.1166667,-64.75333333,"b290","16-Apr-99","19:05:58","B"
134.1216667,-64.92666667,"b290","16-Apr-99","20:49:29","0"
134.7466667,-65.26166667,"b290","17-Apr-99","17:47:52","B"
